mana man kagam	мой друг мне писал
isho ibiʔi mashina sudorzitte	ещё швейные машины покупали
ibiʔi mashina olda bazeste	покупали машины одежду стирать
ibiʔi lisapette matasikle ibiʔi	покупали велосипеды мотоциклы покупали
akta iʔgo ilgen	денег много у людей 
amnobiʔi oniʔ kuza net i boste nit ibi	жил один человек у него была жена и сын
dizeng imbide nagobi	у них ничего не было
ipek nagobi oldaʔi toze jaksheʔi	хлеба не было одежда тоже плохая 
ne mande kanaʔ amzitte naga keʔbde deʔ	женщина сказала иди есть нечего принеси ягод
kanaʔ dijene keʔbde deʔ ni badeste	иди в лес принеси ягод сына покормить
di kambi diber	он пошёл туда
keʔbde oʔbdebi	собрал ягод
selej kadka	целую кадку
digette shobi ugande kushtu kuza	потом пришёл очень сильный человек
 na shto man keʔbdem ibiel	говорит ты почему мои ягоды взял
i diʔne bar saʔmeluʔpi	и бросился на него
ej milie	не отдаёт
digette mande patsi udatsi muʔlil shi alil digette ilil	потом говорит если в дереве рукой дыру проделаешь тогда возьмёшь
i pa baltuzi jaʔlil dak digette 	а если дерево топором срубишь тогда 
di shobi maʔnde da bar tenolaʔbe	он приходит домой и думает
kadelde bashka molambi	у него лицо поменялось
a net mande imbi tan dirgit kadelde molambi	а жена его спрашивает отчего у тебя лицо такое стало
amoraʔ da iʔbeʔ kareldan imbi-nibud molej	поешь и ложись  завтра что-нибудь будет
a erten shuʔteleʔbe kanaʔ di kuza tanan edeleʔbe	а утром она его будит
diʔne mibi dalato	она дала ему долото
shi alil i kubazi kajlil	сделаешь дыру и кожей закроешь
di sholej tan muzuruk diber paʔlambi	он придёт ты кулак туда засунь
di kambi bar shi abi	он пошёл сделал дыру
i di dalatom shalambi	и это долото спрятал
digette di kushtu kuza shobi	потом пришёл тот сильный человек
digette nu shobial	потом ну ты пришёл
shobiam	я пришёл
nu toʔnarde pa	ну ударь дерево
diber muzuruksi toʔnarluʔpi	он кулаком ударил 
muzurukte diber kalla durbi	кулак туда прошёл
o tan ugande kushtu kushtu mana	о ты очень сильный сильнее меня
no tuj kanaʔ maʔnel kareldan sholal	ну теперь иди домой завтра приходи
digette pa ulube baltuzi jaʔlil	тогда верхушку дерева топором срубишь
di shobi maʔnde bazo net mande imbi dirgit kadelde 	он пришёл домой жена снова говорит что у тебя такое лицо
iʔ tenoʔ  kunolaʔ kareldan uʔlal digette kalal	не думай ложись спать завтра встанешь тогда пойдёшь
digette erten di net uʔbdaʔ a to kuza din  nuga 	потом утром его жена говорит  вставай а то человек там стоит 
iʔ baltu	бери топор
di ibi baltu i kambi	он взял топор и пошёл
di kushtu kuza din amnolaʔbe	этот сильный человек там сидит
nu baltu	ну бросай топор
di baruʔluʔpi baltu	он бросил топор
i sajlaʔ jaʔluʔpi pane	и срубил дерево
digette di baʔpi ej mobi	потом тот  не смог
di mande ugande tan kushtu	он говорит ты очень сильный
mana bar	чем я
tuj iʔ keʔbde i kanaʔ maʔnel	теперь бери ягоды и иди домой
shide amnolaʔpi kuza	жили два человек
tibi i ne	мужчина и женщина
din koʔbdo ibi	у них была дочь
digette koʔbsang kambiʔi keʔbdejleʔ dim ibiʔi 	девочки пошли за ягодами взяли её
ibiʔi ibiʔi di koʔbdo dorlambi	собирали собирали ягоды эта девочка заблудилась
kirgarbi kirgarbi i digette shobi urgaban maʔte	она плакала плакала и потом пришла в дом к медведю
tan dober shobiam a man dorlambiam	я сюда пришла а я заблудилась
nu man tanan ej oʔlim	ну теперь я тебя не отпущу
mana minzerlel tura sibreilel	будешь мне готовить дом убирать
mi minzerlel	будешь суп варить
segi bu minzerlel	будешь чай кипятить
di oniʔ xatel kanzitte mande a di dim dim badebi da parluʔpi	она хотела пойти домой а он её догнал и назад вернул
digette di mande kureʔ karzina da kunaʔ pirogeʔi mana abane i iam	потом она говорит
di kurbi di pirogeʔi purbi	он сплёл  она испекла пирожки
a man boste vishkaken amnolam	а я сама на вышку сяду
di bar patsveshnikte sherbi oldat sarbi plat	она взяла подсвечник надела одежду повязала платок
digette urgaba shobi	потом пришёл медведь
kundeʔ pirogeʔi iande da abande	неси пирожки матери и отцу
ti ibi embi boskende i kambi	он взял  надел на себя и пошёл
kambi shobi shobi talaruʔpi	он пошёл шёл-шёл устал
penokte nolubi	остановился у пенька
amnam oniʔ pirok	съем один пирожок
di mande iʔ amaʔ iʔ amaʔ	она говорит не ешь не ешь
ot girgit	вот какой
kungge kulia	далеко видит
bazo kandluʔpi	снова пошёл
shobi kandebi kandebi bazo talaruʔpi	шёл шёл опять устал
penokte nuldupi ennaka amnam pirok	у пенька остановился однако съем пирожок
a di mande iʔ amaʔ iʔ amaʔ kuliom ot girgit	а она говорит не ешь не ешь я вижу вот какой
urgo sima	острые глаза
kunggeng mandorlaʔbe dirgit paʔi numeʔi da i to kuliat	далеко глядит такие деревья высокие да и то видит
digette bazo ibi kambi shobi varotane	потом снова взял  пошёл пришёл к воротам
di karzinam menzeng 	эту корзину… собаки…
menzeng nuʔmebiʔi diʔne di karzinam baruʔluʔpi i kalla durbi	собаки к нему побежали он корзину оставил и ушёл
iat abat shobiʔi mandolaʔbeʔje din koʔbdot jakshe i kuvas molambi	мать с отцом пришли смотрят там дочка их хорошая и красивая стала
amnobiʔi buze da nuke dizeng ibiʔi ni da koʔbdo	жили муж и жена у них были сын и дочь
koʔbdo numejleʔpi alonushka a ni vanushka	девочку звали алёнушка а мальчика ванюшка
a dizeng kulambi i essengde maluʔpiʔi	а они умерли и дети остались 
digette bar imbi  a dashka naga amzitte	потом они всё  а больше есть нечего
davaj kanzebej giber-nibud	давай пойдём куда-нибудь
